title,price,location,date,size,price_pm,negotiable
Odnowione Przestronne Mieszkanie w Sercu Warszawy,965000,Warszawa Wola , 22 stycznia 2024,48.53 , 19884.61 ,False
Kawalerka z potencjałem; 15 km do metra; Wola; ul. Nowolipki,480000,Warszawa Mokotów , 22 stycznia 2024,26 , 18461.54 ,True
Mokotów Sadyba 47 m2,799000,Warszawa Mokotów , 22 stycznia 2024,47 , 17000 ,False
551 m2 dwa pok przy parku Bródnowskim obok Metra,599000,Warszawa Targówek , 22 stycznia 2024,55.10 , 10871.14 ,False
Pkp Ursus 4 minuty księga wieczysta gotowe,515000,Warszawa Ursus , 22 stycznia 2024,30 , 17166.67 ,False
Klucze lipiec 2024 nowoczesne osiedle Włochy 2 pok,599000,Warszawa Włochy , 22 stycznia 2024,36 , 16638.89 ,False
Mieszkanie na Białołęce 97m2 na 4 ostatnim piętrze z winda,1110000,Warszawa Białołęka , 22 stycznia 2024,97 , 11443.3 ,True
Przy stacji Metra Usynów do centrum w 15 min,870000,Warszawa Ursynów , 22 stycznia 2024,67.67 , 12856.51 ,False
Mieszkanie z widokiem na zieleń przy Parku Szczęśliwickim,750000,Warszawa Ochota ,Dzisiaj,42 , 17857.14 ,False
Mieszkanie trzypokojowe Bemowo,970000,Warszawa Bemowo , 09 stycznia 2024,69.20 , 14017.34 ,True
Sprzedam mieszkanie z ogrodem Saska Kępa - Gocław,1252900,Warszawa Praga Południe , 27 stycznia 2024,67 , 18700 ,True
Kameralne 3 pok w centrum Warszawy,889000,Warszawa Śródmieście , 22 stycznia 2024,46.90 , 18955.22 ,False
Sprzedam 60m2 mieszkanie na Bemowie,1100000,Warszawa Bemowo , 22 stycznia 2024,60 , 18333.33 ,False
Trzy pokoje na Gocławiu blisko Promenady.,799000,Warszawa Praga Południe , 22 stycznia 2024,74 , 10797.3 ,False
Mieszkanie - Warszawa Białołęka,420000,Warszawa Białołęka , 22 stycznia 2024,36.80 , 11413.04 ,False
2 lub 3 pokoje dwustronnne balkon 1 piętro,767000,Warszawa Ochota , 22 stycznia 2024,49.92 , 15364.58 ,False
Małe 2 pokoje na Bielanach,548000,Warszawa Bielany , 22 stycznia 2024,36.50 , 15013.7 ,True
ul. Ustronie - luksusowy apartament przy lesie,1970000,Warszawa Ursynów , 22 stycznia 2024,95 , 20736.84 ,False
Chłodna 15 Kawalerka Mieszkanie Bezpośrednio!,565000,Warszawa Wola , 22 stycznia 2024,27 , 20925.93 ,False
Mieszkanie w kamienicy ciche w Centrum,1599000,Warszawa Śródmieście , 22 stycznia 2024,64 , 24984.38 ,False
Apartament Dla Konesera W Kameralnej Inwestycji,1850000,Warszawa Praga Południe , 22 stycznia 2024,78.40 , 23596.94 ,False
SUPER lokalizacja Łucka 81m,1600000,Warszawa Wola , 27 stycznia 2024,81 , 19753.09 ,True
